Id,Address,City,St,Zip,LocType
Altoona00086093,2610 4th Ave SE,Altoona,IA,50009,1
ALTOONA00046855,112 9TH STREET SE,ALTOONA,IA,50009,1
ALTOONA00129855,112 9TH STREET SE,ALTOONA,IA,50009,1
ANKENY00000378,1015 NE PATCHIN LANE,ANKENY,IA,50021,1
ANKENY00083378,1015 NE PATCHIN LANE,ANKENY,IA,50021,1
ANKENY00014599,302 SW ELM ST,ANKENY,IA,50023,2
ANKENY00067127,1317 SW KENWORTHY DRIVE,ANKENY,IA,50023,3
ANKENY00097599,302 SW ELM ST,ANKENY,IA,50023,2
ANKENY00150127,1317 SW KENWORTHY DRIVE,ANKENY,IA,50023,3
BAGLEY00014346,204 2ND AVE,BAGLEY,IA,50026,3
BAGLEY00031572,830 330TH ST,BAGLEY,IA,50026,1
BAGLEY00097346,204 2ND AVE,BAGLEY,IA,50026,3
BAGLEY00114572,830 330TH ST,BAGLEY,IA,50026,1
BOONE00069436,524 MADISON ST,BOONE,IA,50036,2
BOONE00152436,524 MADISON ST,BOONE,IA,50036,2
CARLISLE00041551,505 SCHOOL ST,CARLISLE,IA,50047,2
CARLISLE00124551,505 SCHOOL ST,CARLISLE,IA,50047,2
CHARITON00009486,115N 17TH ST,CHARITON,IA,50049,2
CHARITON00092486,115N 17TH ST,CHARITON,IA,50049,2
COLFAX00065185,522S LOCUST ST,COLFAX,IA,50054,1
COLFAX00148185,522S LOCUST ST,COLFAX,IA,50054,1
Ellsworth00039297,1527 Dayton St,Ellsworth,IA,50075,3
Ellsworth00122297,1527 Dayton St,Ellsworth,IA,50075,3
Skokie00006423,8422 N Harding Avenue,Skokie,IL,50076,2
Skokie00089423,8422 N Harding Avenue,Skokie,IL,50076,2
GRIMES00044067,1105 NE HARVEY ST,GRIMES,IA,50111,3
GRIMES00127067,1105 NE HARVEY ST,GRIMES,IA,50111,3
GRINNELL00054296,804  SUMMER ST,GRINNELL,IA,50112,3
GRINNELL00137296,804  SUMMER ST,GRINNELL,IA,50112,3
INDIANOLA00003053,405 N 8TH ST,INDIANOLA,IA,50125,1
INDIANOLA00086053,405 N 8TH ST,INDIANOLA,IA,50125,1
JEFFERSON00051141,507 W HARRISON ST,JEFFERSON,IA,50129,2
JEFFERSON00134141,507 W HARRISON ST,JEFFERSON,IA,50129,2
KELLOGG00002845,512  WEST ST,KELLOGG,IA,50135,2
KELLOGG00070123,9228 S 12TH AVE E,KELLOGG,IA,50135,3
KELLOGG00085845,512  WEST ST,KELLOGG,IA,50135,2
KELLOGG00153123,9228 S 12TH AVE E,KELLOGG,IA,50135,3
Nevada00055157,1417 W 7th St,Nevada,IA,50201,3
Nevada00138157,1417 W 7th St,Nevada,IA,50201,3
NEWTON00025750,729 E 8th St N,NEWTON,IA,50208,3
NEWTON00035464,1301S 10TH AVE E,NEWTON,IA,50208,1
NEWTON00074885,602E 8TH ST S,NEWTON,IA,50208,2
NEWTON00108750,729 E 8th St N,NEWTON,IA,50208,3
NEWTON00118464,1301S 10TH AVE E,NEWTON,IA,50208,1
NEWTON00157885,602E 8TH ST S,NEWTON,IA,50208,2
PERRY00031512,2295 DEER AVENUE,PERRY,IA,50220,1
PERRY00114512,2295 DEER AVENUE,PERRY,IA,50220,1
PLEASANTVILLE00046124,109S SUNSET DR,PLEASANTVILLE,IA,50225,3
PLEASANTVILLE00129124,109S SUNSET DR,PLEASANTVILLE,IA,50225,3
