Id,Address,City,St,Zip,LocType
Aberdeen00074681,367 Woodland Green Court,Aberdeen,MD,21001,3
Aberdeen00157681,367 Woodland Green Court,Aberdeen,MD,21001,3
Alabaster00070363,101 Red Oak Dr,Alabaster,AL,35007,2
Alabaster00153363,101 Red Oak Dr,Alabaster,AL,35007,2
ALBUQUERQUE00029770,2448 RED POLARD CT NW,ALBUQUERQUE,NM,87120,1
ALBUQUERQUE00112770,2448 RED POLARD CT NW,ALBUQUERQUE,NM,87120,1
Allen00007807,527 Red Oak Street (ARPM 2018-05-01),Allen,TX,75002,3
Allen00029400,527 Red Oak St,Allen,TX,75002,3
Allen00053169,914 Redbud Dr,Allen,TX,75002,1
Allen00056403,1318 Red River Ln ,Allen,TX,75002,3
Allen00067374,1604 Frederickburg Dr.,Allen,TX,75013,2
Allen00090807,527 Red Oak Street (ARPM 2018-05-01),Allen,TX,75002,3
Allen00112400,527 Red Oak St,Allen,TX,75002,3
Allen00136169,914 Redbud Dr,Allen,TX,75002,1
Allen00139403,1318 Red River Ln ,Allen,TX,75002,3
Allen00150374,1604 Frederickburg Dr.,Allen,TX,75013,2
Alpharetta00009673,812 Red Hart Ln,Alpharetta,GA,30004,1
Alpharetta00092673,812 Red Hart Ln,Alpharetta,GA,30004,1
ANAHEIM00022843,1926 EAST REDWOOD AVENUE,ANAHEIM,CA,92805,1
ANAHEIM00105843,1926 EAST REDWOOD AVENUE,ANAHEIM,CA,92805,1
Anna00001356,1601 Red Oak Trail,Anna,TX,75409,2
Anna00019298,1601 Red Oak Trail (DUPE),Anna,TX,75409,1
Anna00084356,1601 Red Oak Trail,Anna,TX,75409,2
Anna00102298,1601 Red Oak Trail (DUPE),Anna,TX,75409,1
Antelope00065266,9240 Redwater Drive,Antelope,CA,95843,2
Antelope00148266,9240 Redwater Drive,Antelope,CA,95843,2
Antioch00078173,1783 Red Jacket Dr,Antioch,TN,37013,2
Antioch00161173,1783 Red Jacket Dr,Antioch,TN,37013,2
Apex00036380,6017 Oxford Green Drive,Apex,NC,27539,1
Apex00119380,6017 Oxford Green Drive,Apex,NC,27539,1
Apison00016473,3582 Red Barn Ln,Apison,TN,37302,3
Apison00099473,3582 Red Barn Ln,Apison,TN,37302,3
Apopka00005847,2042 Red Bluff Avenue,Apopka,FL,32712,2
Apopka00088847,2042 Red Bluff Avenue,Apopka,FL,32712,2
Arlington00010529,6402 Redstone Dr,Arlington,TX,76001,1
Arlington00043894,1911 Redwood St,Arlington,TX,76014,1
Arlington00057266,6405 Redstone Dr ,Arlington,TX,76001,3
Arlington00093529,6402 Redstone Dr,Arlington,TX,76001,1
Arlington00126894,1911 Redwood St,Arlington,TX,76014,1
Arlington00140266,6405 Redstone Dr ,Arlington,TX,76001,3
Atlanta00015977,766 Alfred Road NW,Atlanta,GA,30331,1
Atlanta00045324,828 Alfred Road NW,Atlanta,GA,30331,1
Atlanta00072588,824 Frederica Street NE,Atlanta,GA,30306,3
Atlanta00075740,5440 Red Berry Ln SW,Atlanta,GA,30331,2
Atlanta00098977,766 Alfred Road NW,Atlanta,GA,30331,1
Atlanta00128324,828 Alfred Road NW,Atlanta,GA,30331,1
Atlanta00155588,824 Frederica Street NE,Atlanta,GA,30306,3
Atlanta00158740,5440 Red Berry Ln SW,Atlanta,GA,30331,2
ATTICA00059258,216W COVERED BRIDGE RD,ATTICA,IN,47918,2
ATTICA00142258,216W COVERED BRIDGE RD,ATTICA,IN,47918,2
